,Country/Region,Population,Total Cases,Total Deaths,% of Population With Covid,% of Cases that Result in Death,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,WHO Region,Test Rate,Country Test Rate,country_flag
123,Estonia,1326627,2124,63.0,0.160%,2.966%,1601,47.0,122880.0,92626.0,Europe,0.09262588504530662,0.09262588504530662,Medium Test Rate
124,Mozambique,31333962,2120,15.0,0.007%,0.708%,68,0.5,65151.0,2079.0,Africa,0.002079245516414426,0.002079245516414426,Lower Test Rate
125,Rwanda,12981546,2111,5.0,0.016%,0.237%,163,0.4,286251.0,22051.0,Africa,0.022050609380423563,0.022050609380423563,Lower Test Rate
126,Suriname,587154,2096,29.0,0.357%,1.384%,3570,49.0,2785.0,4743.0,Americas,0.004743218985138482,0.004743218985138482,Lower Test Rate
127,Guinea-Bissau,1972277,2032,27.0,0.103%,1.329%,1030,14.0,1500.0,761.0,Africa,0.0007605422564883127,0.0007605422564883127,Lower Test Rate
128,Benin,12151976,1936,38.0,0.016%,1.963%,159,3.0,93677.0,7709.0,Africa,0.007708787443293173,0.007708787443293173,Lower Test Rate
129,Iceland,341465,1930,10.0,0.565%,0.518%,5652,29.0,149693.0,438385.0,Europe,0.4383846075000366,0.4383846075000366,High Test Rate
130,Sierra Leone,7992169,1877,67.0,0.023%,3.570%,235,8.0,,,Africa,,,
131,Yemen,29886897,1768,508.0,0.006%,28.733%,59,17.0,120.0,4.0,MiddleEast,4.015137469774798e-06,4.015137469774798e-06,Lower Test Rate
132,Tunisia,11830801,1642,51.0,0.014%,3.106%,139,4.0,100298.0,8478.0,MiddleEast,0.008477701552075806,0.008477701552075806,Lower Test Rate
133,New Zealand,5002100,1569,22.0,0.031%,1.402%,314,4.0,486943.0,97348.0,WesternPacific,0.09734771396013674,0.09734771396013674,Medium Test Rate
134,Angola,32956300,1483,64.0,0.004%,4.316%,45,2.0,64747.0,1965.0,Africa,0.0019646319520091756,0.0019646319520091756,Lower Test Rate
135,Uruguay,3474956,1318,37.0,0.038%,2.807%,379,11.0,126956.0,36535.0,Americas,0.036534563315334063,0.036534563315334063,Medium Test Rate
136,Latvia,1883936,1275,32.0,0.068%,2.510%,677,17.0,207909.0,110359.0,Europe,0.11035884446180762,0.11035884446180762,High Test Rate
137,Jordan,10213138,1232,11.0,0.012%,0.893%,121,1.0,628745.0,61562.0,MiddleEast,0.061562371917426355,0.061562371917426355,Medium Test Rate
138,Liberia,5068618,1224,78.0,0.024%,6.373%,241,15.0,,,Africa,,,
139,Uganda,45867852,1223,5.0,0.003%,0.409%,27,0.1,288367.0,6287.0,Africa,0.006286908748201246,0.006286908748201246,Lower Test Rate
140,Cyprus,1208238,1208,19.0,0.100%,1.573%,1000,16.0,216597.0,179267.0,Europe,0.17926683319014963,0.17926683319014963,High Test Rate
141,Georgia,3988368,1206,17.0,0.030%,1.410%,302,4.0,240473.0,60294.0,Europe,0.06029358374152034,0.06029358374152034,Medium Test Rate
142,Burkina Faso,20954852,1158,54.0,0.006%,4.663%,55,3.0,,,Africa,,,
143,Niger,24281433,1153,69.0,0.005%,5.984%,47,3.0,9052.0,373.0,Africa,0.0003727951311605044,0.0003727951311605044,Lower Test Rate
144,Togo,8296582,1012,22.0,0.012%,2.174%,122,3.0,45767.0,5516.0,Africa,0.00551636806578902,0.00551636806578902,Lower Test Rate
145,Syria,17539600,999,48.0,0.006%,4.805%,57,3.0,,,MiddleEast,,,
146,Jamaica,2962478,958,12.0,0.032%,1.253%,323,4.0,41840.0,14123.0,Americas,0.014123311633031536,0.014123311633031536,Lower Test Rate
147,Malta,441663,946,9.0,0.214%,0.951%,2142,20.0,136713.0,309541.0,Europe,0.3095414377025017,0.3095414377025017,High Test Rate
148,Andorra,77278,944,52.0,1.222%,5.508%,12216,673.0,3750.0,48526.0,Europe,0.048526100571960974,0.048526100571960974,Medium Test Rate
149,Chad,16467965,942,76.0,0.006%,8.068%,57,5.0,,,Africa,,,
150,Gambia,2422754,935,16.0,0.039%,1.711%,386,7.0,5183.0,2139.0,Africa,0.0021393009773175487,0.0021393009773175487,Lower Test Rate
151,Sao Tome and Principe,219544,878,15.0,0.400%,1.708%,3999,68.0,3079.0,14025.0,Africa,0.014024523557920053,0.014024523557920053,Lower Test Rate
152,Botswana,2356075,804,2.0,0.034%,0.249%,341,0.8,68423.0,29041.0,Africa,0.02904109589041096,0.02904109589041096,Lower Test Rate
153,Bahamas,393616,761,14.0,0.193%,1.840%,1933,36.0,4814.0,12230.0,Americas,0.012230193894557132,0.012230193894557132,Lower Test Rate
154,Vietnam,97425470,747,10.0,0.001%,1.339%,8,0.1,482456.0,4952.0,WesternPacific,0.004952052066056238,0.004952052066056238,Lower Test Rate
155,Lesotho,2143943,742,23.0,0.035%,3.100%,346,11.0,8771.0,4091.0,Africa,0.0040910602567325715,0.0040910602567325715,Lower Test Rate
156,San Marino,33938,699,42.0,2.060%,6.009%,20596,1238.0,6068.0,178797.0,Europe,0.17879662914726854,0.17879662914726854,High Test Rate
157,Réunion,895952,671,5.0,0.075%,0.745%,749,6.0,35419.0,39532.0,Africa,0.03953225172777113,0.03953225172777113,Medium Test Rate
158,Channel Islands,174022,597,47.0,0.343%,7.873%,3431,270.0,30721.0,176535.0,Europe,0.17653515072806886,0.17653515072806886,High Test Rate
159,Guyana,786936,538,22.0,0.068%,4.089%,684,28.0,5165.0,6563.0,Americas,0.00656343082537843,0.00656343082537843,Lower Test Rate
160,Tanzania,59886383,509,21.0,0.001%,4.126%,8,0.4,,,Africa,,,
161,Taiwan,23821199,477,7.0,0.002%,1.468%,20,0.3,82737.0,3473.0,WesternPacific,0.003473250863653001,0.003473250863653001,Lower Test Rate
162,Comoros,871326,396,7.0,0.045%,1.768%,454,8.0,,,Africa,,,
163,Burundi,11922216,395,1.0,0.003%,0.253%,33,0.08,15614.0,1310.0,Africa,0.001309655855924771,0.001309655855924771,Lower Test Rate
