Country/Region,Population,Total Cases,Total Deaths,% of Population With Covid,% of Cases that Result in Death,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,WHO Region,Country Test Rate,country_flag
Yemen,29886897,1768,508,0.01%,28.73%,59,17,120,4,MiddleEast,4.02E-06,Lower Test Rate
Tunisia,11830801,1642,51,0.01%,3.11%,139,4,100298,8478,MiddleEast,0.008477702,Lower Test Rate
New Zealand,5002100,1569,22,0.03%,1.40%,314,4,486943,97348,WesternPacific,0.097347714,Medium Test Rate
Angola,32956300,1483,64,0.00%,4.32%,45,2,64747,1965,Africa,0.001964632,Lower Test Rate
Uruguay,3474956,1318,37,0.04%,2.81%,379,11,126956,36535,Americas,0.036534563,Medium Test Rate
Latvia,1883936,1275,32,0.07%,2.51%,677,17,207909,110359,Europe,0.110358844,High Test Rate
Jordan,10213138,1232,11,0.01%,0.89%,121,1,628745,61562,MiddleEast,0.061562372,Medium Test Rate
Uganda,45867852,1223,5,0.00%,0.41%,27,0.1,288367,6287,Africa,0.006286909,Lower Test Rate
Cyprus,1208238,1208,19,0.10%,1.57%,1000,16,216597,179267,Europe,0.179266833,High Test Rate
Georgia,3988368,1206,17,0.03%,1.41%,302,4,240473,60294,Europe,0.060293584,Medium Test Rate
Niger,24281433,1153,69,0.01%,5.98%,47,3,9052,373,Africa,0.000372795,Lower Test Rate
Togo,8296582,1012,22,0.01%,2.17%,122,3,45767,5516,Africa,0.005516368,Lower Test Rate
Jamaica,2962478,958,12,0.03%,1.25%,323,4,41840,14123,Americas,0.014123312,Lower Test Rate
Malta,441663,946,9,0.21%,0.95%,2142,20,136713,309541,Europe,0.309541438,High Test Rate
Andorra,77278,944,52,1.22%,5.51%,12216,673,3750,48526,Europe,0.048526101,Medium Test Rate
Gambia,2422754,935,16,0.04%,1.71%,386,7,5183,2139,Africa,0.002139301,Lower Test Rate
Sao Tome and Principe,219544,878,15,0.40%,1.71%,3999,68,3079,14025,Africa,0.014024524,Lower Test Rate
Botswana,2356075,804,2,0.03%,0.25%,341,0.8,68423,29041,Africa,0.029041096,Lower Test Rate
Bahamas,393616,761,14,0.19%,1.84%,1933,36,4814,12230,Americas,0.012230194,Lower Test Rate
Vietnam,97425470,747,10,0.00%,1.34%,8,0.1,482456,4952,WesternPacific,0.004952052,Lower Test Rate
Lesotho,2143943,742,23,0.04%,3.10%,346,11,8771,4091,Africa,0.00409106,Lower Test Rate
San Marino,33938,699,42,2.06%,6.01%,20596,1238,6068,178797,Europe,0.178796629,High Test Rate
Réunion,895952,671,5,0.08%,0.75%,749,6,35419,39532,Africa,0.039532252,Medium Test Rate
Channel Islands,174022,597,47,0.34%,7.87%,3431,270,30721,176535,Europe,0.176535151,High Test Rate
Guyana,786936,538,22,0.07%,4.09%,684,28,5165,6563,Americas,0.006563431,Lower Test Rate
Taiwan,23821199,477,7,0.00%,1.47%,20,0.3,82737,3473,WesternPacific,0.003473251,Lower Test Rate
Burundi,11922216,395,1,0.00%,0.25%,33,0.08,15614,1310,Africa,0.001309656,Lower Test Rate
Myanmar,54446389,357,6,0.00%,1.68%,7,0.1,122290,2246,South-EastAsia,0.002246063,Lower Test Rate
Mauritius,1271985,344,10,0.03%,2.91%,270,8,205285,161389,Africa,0.161389482,High Test Rate
Isle of Man,85078,336,24,0.40%,7.14%,3949,282,8627,101401,Europe,0.101401067,High Test Rate
Mongolia,3283344,293,0,0.01%,0.00%,89,0,38334,11675,WesternPacific,0.011675292,Lower Test Rate
Guadeloupe,400131,279,14,0.07%,5.02%,697,35,18476,46175,Americas,0.046174878,Medium Test Rate
Martinique,375235,276,15,0.07%,5.44%,736,40,12227,32585,Americas,0.032584913,Medium Test Rate
Faeroe Islands,48882,266,0,0.54%,0.00%,5442,0,43045,880590,Europe,0.880589992,High Test Rate
Aruba,106812,263,3,0.25%,1.14%,2462,28,14047,131511,Americas,0.131511441,High Test Rate
Cambodia,16741375,243,0,0.00%,0.00%,15,0,67807,4050,WesternPacific,0.004050265,Lower Test Rate
Trinidad and Tobago,1399950,210,8,0.02%,3.81%,150,6,9559,6828,Americas,0.006828101,Lower Test Rate
Cayman Islands,65798,203,1,0.31%,0.49%,3085,15,31108,472780,Americas,0.472780328,High Test Rate
Gibraltar,33690,190,0,0.56%,0.00%,5640,0,23063,684565,Europe,0.684565153,High Test Rate
Papua New Guinea,8963009,163,3,0.00%,1.84%,18,0.3,10808,1206,WesternPacific,0.001205845,Lower Test Rate
Sint Maarten,42924,160,16,0.37%,10.00%,3728,373,1115,25976,Americas,0.025976144,Lower Test Rate
Bermuda,62254,157,9,0.25%,5.73%,2522,145,26352,423298,Americas,0.423298101,High Test Rate
Brunei ,437893,141,3,0.03%,2.13%,322,7,41148,93968,South-EastAsia,0.093968161,Medium Test Rate
Barbados,287411,133,7,0.05%,5.26%,463,24,12233,42563,Americas,0.042562741,Medium Test Rate
Turks and Caicos,38768,129,2,0.33%,1.55%,3327,52,1252,32295,Americas,0.032294676,Medium Test Rate
Monaco,39270,125,4,0.32%,3.20%,3183,102,38209,972982,Europe,0.97298192,High Test Rate
Bhutan,772443,105,0,0.01%,0.00%,136,0,54589,70671,South-EastAsia,0.070670587,Medium Test Rate
Antigua and Barbuda,98010,92,3,0.09%,3.26%,939,31,1500,15305,Americas,0.015304561,Lower Test Rate
Liechtenstein,38139,89,1,0.23%,1.12%,2334,26,900,23598,Europe,0.023597892,Lower Test Rate
Belize,398312,86,2,0.02%,2.33%,216,5,3679,9236,Americas,0.009236478,Lower Test Rate
French Polynesia,281072,64,0,0.02%,0.00%,228,0,5849,20810,WesternPacific,0.020809615,Lower Test Rate
St. Vincent Grenadines,110976,56,0,0.05%,0.00%,505,0,2447,22050,Americas,0.022049813,Lower Test Rate
Saint Martin,38729,53,3,0.14%,5.66%,1368,77,1183,30546,Americas,0.030545586,Medium Test Rate
Macao,650193,46,0,0.01%,0.00%,71,0,4071,6261,South-EastAsia,0.006261218,Lower Test Rate
Curaçao,164161,31,1,0.02%,3.23%,189,6,1080,6579,Americas,0.006578907,Lower Test Rate
Fiji,897095,27,1,0.00%,3.70%,30,1,6693,7461,WesternPacific,0.007460748,Lower Test Rate
Saint Lucia,183712,25,0,0.01%,0.00%,136,0,3895,21202,Americas,0.021201663,Lower Test Rate
Timor-Leste,1320812,25,0,0.00%,0.00%,19,0,4238,3209,South-EastAsia,0.003208632,Lower Test Rate
Grenada,112576,24,0,0.02%,0.00%,213,0,6252,55536,Americas,0.055535816,Medium Test Rate
New Caledonia,285769,22,0,0.01%,0.00%,77,0,11099,38839,WesternPacific,0.038839062,Medium Test Rate
Laos,7285750,20,0,0.00%,0.00%,3,0,29374,4032,WesternPacific,0.004031706,Lower Test Rate
Dominica,72004,18,0,0.03%,0.00%,250,0,1005,13958,Americas,0.013957558,Lower Test Rate
Saint Kitts and Nevis,53237,17,0,0.03%,0.00%,319,0,1146,21526,Americas,0.021526382,Lower Test Rate
Greenland,56780,14,0,0.03%,0.00%,247,0,5977,105266,Europe,0.105265939,High Test Rate
Montserrat,4992,13,1,0.26%,7.69%,2604,200,61,12220,Americas,0.012219551,Lower Test Rate
Caribbean Netherlands,26247,13,0,0.05%,0.00%,495,0,424,16154,Americas,0.016154227,Lower Test Rate
Falkland Islands,3489,13,0,0.37%,0.00%,3726,0,1816,520493,Americas,0.520492978,High Test Rate
